condition,model_id,partner_framing,n_episodes,n_valid,vrr,mean_sent,sd_sent,median_sent,min_sent,max_sent
gpt-5-nano_baseline,openai/gpt-5-nano,baseline,10,10,1.000,3.90,4.12,2.5,0.0,10.0
gpt-5-nano_llm_partner,openai/gpt-5-nano,llm_partner,10,10,1.000,5.10,3.11,6.0,0.0,10.0
